NOG	EC	# Members assigned to this EC	# EC assigned proteins	# NOG members
COG0001	5.4.3.8	935	940	1744
COG0002	1.2.1.38	1093	1093	1641
COG0003	3.6.3.16	596	603	1137
COG0005	2.4.2.28	563	1117	1852
COG0006	3.4.11.9	1362	1998	4754
COG0007	2.1.1.107	1312	1327	2013
COG0008	6.1.1.17	1543	2712	4412
COG0009	3.1.3.48	2	2	2742
COG0010	3.5.3.11	525	902	2438
COG0013	6.1.1.7	1389	1389	2315
COG0014	1.2.1.41	1041	1041	1704
COG0015	4.3.2.2	1277	1459	2362
COG0016	6.1.1.20	1465	1465	2350
COG0017	6.1.1.22	903	1287	2161
COG0018	6.1.1.19	1407	1407	2389
COG0019	4.1.1.20	1324	1953	3398
COG0020	2.5.1.31	1051	1435	2614
COG0021	2.2.1.1	877	898	2241
COG0022	1.2.4.1	960	1394	2422
COG0024	3.4.11.18	2006	2027	3645
COG0026	6.3.4.18	774	846	1325
COG0027	2.1.2.2	382	382	561
COG0028	2.2.1.6	2102	2861	5016
COG0029	1.4.3.16	749	749	1158
COG0030	2.1.1.182	1189	1356	2387
COG0031	2.5.1.47	2101	2486	4199
COG0033	5.4.2.2	428	428	935
COG0034	2.4.2.14	825	825	2038
COG0035	2.4.2.9	1065	1196	2331
COG0036	5.1.3.1	1289	1298	2237
COG0037	6.3.4.19	1031	1179	3440
COG0039	1.1.1.37	1209	1789	3492
COG0040	2.4.2.17	1035	1035	1560
COG0041	5.4.99.18	1071	1192	1902
COG0042	1.-.-.-	899	1396	3760
COG0043	4.1.1.-	540	543	1069
COG0044	3.5.2.3	875	1279	3076
COG0045	6.2.1.5	1106	1266	2047
COG0046	6.3.5.3	1172	1172	1937
COG0047	6.3.5.3	1169	1169	1887
COG0051	6.1.1.2	7	7	2346
COG0053	3.6.1.-	1	1	2640
COG0054	2.5.1.78	1151	1151	1755
COG0055	3.6.3.14	1273	1273	2154
COG0056	3.6.3.14	1218	1219	2071
COG0057	1.2.1.12	1816	2137	3934
COG0058	2.4.1.1	1136	1137	1981
COG0059	1.1.1.86	1074	1074	1659
COG0060	6.1.1.5	1459	1459	2427
COG0061	2.7.1.23	1326	1330	2385
COG0062	1.6.99.3	1	1	1668
COG0062	1.6.5.3	1	1	1668
COG0064	6.3.5.7	1001	1017	1685
COG0064	6.3.5.6	1001	1017	1685
COG0065	4.2.1.33	1146	1244	1931
COG0065	4.2.1.35	1088	1244	1931
COG0066	4.2.1.33	1150	1240	1902
COG0066	4.2.1.35	1093	1240	1902
COG0067	1.4.1.14	707	879	1664
COG0067	1.4.1.13	707	879	1664
COG0069	1.4.1.14	740	903	2295
COG0069	1.4.1.13	740	903	2295
COG0070	1.4.1.14	707	865	1630
COG0070	1.4.1.13	707	865	1630
COG0072	6.1.1.20	1439	1439	2393
COG0073	6.1.1.20	1007	1826	3982
COG0074	6.2.1.5	1066	1220	2015
COG0075	2.6.1.51	347	617	1716
COG0075	2.6.1.44	347	617	1716
COG0075	2.6.1.45	347	617	1716
COG0077	4.2.1.51	1049	1051	1799
COG0078	2.1.3.3	954	1050	2149
COG0079	2.6.1.9	1599	1803	3303
COG0082	4.2.3.5	1153	1153	1821
COG0083	2.7.1.39	708	709	1115
COG0084	3.1.21.-	1822	1823	3207
COG0085	2.7.7.6	1713	1713	2889
COG0086	2.7.7.6	1814	1815	3112
COG0095	2.7.7.63	675	726	1427
COG0096	6.3.2.19	1	1	2373
COG0098	2.4.99.18	1	1	2542
COG0100	2.7.7.6	1	1	2455
COG0101	5.4.99.12	1373	1526	2616
COG0102	2.8.1.8	1	1	2450
COG0103	1.14.13.70	1	1	2403
COG0104	6.3.4.4	1340	1340	2157
COG0105	2.7.4.6	1399	1399	2370
COG0106	5.3.1.16	1030	1032	1573
COG0107	4.1.3.-	1083	1089	1668
COG0108	4.1.99.12	1240	1242	1955
COG0108	3.5.4.25	909	1242	1955
COG0109	2.5.1.-	896	896	1316
COG0111	1.1.1.95	1593	2033	4836
COG0112	2.1.2.1	1587	1589	2651
COG0113	4.2.1.24	1090	1090	1634
COG0114	4.2.1.2	913	913	1421
COG0115	2.6.1.42	1616	2431	4325
COG0116	2.1.1.-	368	601	1273
COG0117	3.5.4.26	919	943	1600
COG0117	1.1.1.193	918	943	1600
COG0118	2.4.2.-	1073	1073	1617
COG0119	2.3.3.13	1552	2820	4366
COG0120	5.3.1.6	870	870	1390
COG0121	3.4.-.-	1	2	824
COG0121	6.3.5.2	1	2	824
COG0122	3.2.2.21	678	925	1534
COG0123	3.5.1.98	770	775	3227
COG0124	6.1.1.21	1383	1492	2515
COG0125	2.7.4.9	1286	1318	2048
COG0126	2.7.2.3	1410	1410	2267
COG0127	3.6.1.19	1133	1133	2070
COG0128	2.5.1.19	1171	1172	1869
COG0129	4.2.1.9	1525	1812	2823
COG0130	5.4.99.25	1171	1403	2250
COG0131	4.2.1.19	1016	1018	1553
COG0132	6.3.3.3	752	758	1108
COG0133	4.2.1.20	1141	1141	1803
COG0134	4.1.1.48	1053	1061	1645
COG0135	5.3.1.24	979	979	1480
COG0136	1.2.1.11	1267	1272	2130
COG0137	6.3.4.5	1135	1137	1805
COG0138	2.1.2.3	1171	1171	2006
COG0138	3.5.4.10	1165	1171	2006
COG0139	3.5.4.19	1010	1013	1561
COG0140	3.6.1.31	905	907	1381
COG0141	1.1.1.23	1039	1095	1707
COG0142	2.5.1.1	1524	2576	4797
COG0142	2.5.1.10	1509	2576	4797
COG0143	6.1.1.10	1513	1513	2422
COG0144	2.1.1.176	1161	1702	3788
COG0145	3.5.2.14	265	479	1385
COG0146	3.5.2.14	256	467	949
COG0147	4.1.3.27	1098	1945	3076
COG0148	4.2.1.11	1344	1344	2613
COG0149	5.3.1.1	1452	1454	2368
COG0150	6.3.3.1	1178	1178	1910
COG0151	6.3.4.13	1190	1196	1969
COG0152	6.3.2.6	1228	1229	1993
COG0153	2.7.1.6	461	470	1314
COG0154	6.3.5.7	1265	1995	5796
COG0154	6.3.5.6	1265	1995	5796
COG0155	1.8.1.2	473	938	1484
COG0157	2.4.2.19	975	1079	1608
COG0158	3.1.3.11	564	590	1173
COG0159	4.2.1.20	1073	1078	1654
COG0160	2.6.1.19	677	1275	2449
COG0161	2.6.1.62	700	1131	2398
COG0162	6.1.1.1	1506	1507	2443
COG0163	4.1.1.-	657	657	949
COG0164	3.1.26.4	1289	1289	2034
COG0165	4.3.2.1	1174	1174	1846
COG0166	5.3.1.9	1316	1316	2216
